,CO2_DO_avg,CO2_DO_stop,CO2_DI_avg,CO2_DI_stop,CO2_UI_avg,CO2_UI_stop,CO2_UO_avg,CO2_UO_stop
2015-02-28 11:00:00,705.217594456,2015-02-28 13:00:00,673.402749218,2015-02-28 13:00:00,502.406283542,2015-02-28 13:00:00,568.864355993,2015-02-28 13:00:00
2015-02-28 14:00:00,719.072099262,2015-02-28 16:00:00,686.736530293,2015-02-28 16:00:00,517.557209926,2015-02-28 16:00:00,579.605902079,2015-02-28 16:00:00
2015-02-28 17:00:00,758.952470378,2015-02-28 19:00:00,724.79005142,2015-02-28 19:00:00,538.620505367,2015-02-28 19:00:00,601.949396243,2015-02-28 19:00:00
2015-03-01 08:00:00,657.657455846,2015-03-01 10:00:00,627.036119803,2015-03-01 10:00:00,496.390764758,2015-03-01 10:00:00,550.939534884,2015-03-01 10:00:00
2015-03-01 11:00:00,693.155935614,2015-03-01 13:00:00,661.194500335,2015-03-01 13:00:00,512.80608229,2015-03-01 13:00:00,566.633556897,2015-03-01 13:00:00
2015-03-01 14:00:00,761.946568299,2015-03-01 16:00:00,728.414308071,2015-03-01 16:00:00,552.315671809,2015-03-01 16:00:00,607.152862254,2015-03-01 16:00:00
2015-03-01 17:00:00,738.541484131,2015-03-01 19:00:00,705.925665102,2015-03-01 19:00:00,538.826498211,2015-03-01 19:00:00,594.006954383,2015-03-01 19:00:00
2015-03-02 08:00:00,803.015362254,2015-03-02 10:00:00,768.482021467,2015-03-02 10:00:00,550.349606299,2015-03-02 08:06:40,624.284644195,2015-03-02 08:06:40
2015-03-02 11:00:00,707.824342399,2015-03-02 13:00:00,677.387001115,2015-03-02 13:00:00,,,,
2015-03-02 14:00:00,708.84456619,2015-03-02 16:00:00,677.525106193,2015-03-02 16:00:00,,,,
2015-03-02 17:00:00,756.218694097,2015-03-02 19:00:00,723.22730322,2015-03-02 19:00:00,,,,
2015-03-03 08:00:00,812.506551878,2015-03-03 10:00:00,777.168000894,2015-03-03 10:00:00,477.868209256,2015-03-03 10:00:00,,
